GameTitle,Profit,GenreRank
"Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon",0.07,591
Venetica,0.07,591
"Summon Night: Twin Age",0.07,591
"Guardian's Crusade",0.07,591
"Gungnir: Mayari no Gunshin to Eiyuu Sensou",0.07,591
Darkspore,0.07,591
Contact,0.07,591
"Riviera: The Promised Land",0.07,591
"Wasteland 2",0.07,591
"Etrian Odyssey 2 Untold: Knight of Fafnir",0.07,591
"Riviera: The Promised Land",0.07,591
"Mimana Iyar Chronicle",0.07,591
"Alien Syndrome",0.07,591
"Dawn of Heroes",0.07,591
Baroque,0.07,591
"Mega Man Battle Network 5: Double Team DS (US sales)",0.07,591
"Operation Darkness",0.07,591
"Royal Palace of White Sword and The City of Gentiles",0.06,638
"Tales of Destiny II",0.06,638
"Romancing SaGa",0.06,638
"Star Ocean 5: Integrity and Faithlessness",0.06,638
"Atelier Ayesha: The Alchemist of Dusk",0.06,638
"Final Fantasy XI: Treasures of Aht Urhgan",0.06,638
"Atelier Escha & Logy: Alchemists of the Dusk Sky",0.06,638
"Atelier Shallie: Alchemists of the Dusk Sea",0.06,638
"Ogre Battle Saga Episode Five: The March of the Black Queen",0.06,638
"The Witch and the Hundred Knight",0.06,638
"Demon Gaze",0.06,638
"Odin Sphere: Leifthrasir",0.06,638
"Time and Eternity",0.06,638
"Valkyria Chronicles",0.06,638
"Class of Heroes",0.06,638
"TRINITY: Souls of Zill O'll",0.06,638
"RPG Maker II",0.06,638
"Drakengard 2",0.06,638
"Shin Megami Tensei: Digital Devil Saga",0.06,638
"Makai Kingdom: Chronicles of the Sacred Tome",0.06,638
"Tokyo Twilight Ghost Hunters",0.06,638
"Thousand Arms",0.06,638
"Shining Force NEO",0.06,638
"Growlanser Generations",0.06,638
"Sakura Wars: So Long, My Love",0.06,638
"Baten Kaitos Origins",0.06,638
"Blue Dragon: Awakened Shadow",0.06,638
"Last Rebellion",0.06,638
"Knights in the Nightmare",0.06,638
