GameTitle,Profit,GenreRank
"Tales of Hearts",0.09,576
"God Eater 2: Rage Burst",0.09,576
"Etrian Odyssey",0.09,576
"Radiant Historia",0.09,576
"Fairy Fencer F",0.09,576
"Ogre Battle Saga Episode Five: The March of the Black Queen",0.09,576
"White Knight Chronicles: Origins",0.09,576
"Shining Soul",0.09,576
"Shin Megami Tensei: Devil Survivor 2",0.09,576
"Crime Crackers",0.09,576
"Egg Monster Hero",0.09,576
Terranigma,0.09,576
"SD Gundam G Generation DS",0.09,576
"Shin Megami Tensei",0.09,576
"Skies of Arcadia",0.09,576
"Blood of Bahamut",0.09,576
"Lilie no Atelier: Salburg no Renkinjutsushi 3",0.09,576
"Naruto RPG 3: Rejiuu vs Konoha Shoutai",0.09,576
"Shin Ken to Mah? to Gakuenmono. Toki no Gakuen",0.09,576
"Saiyuuki: Kinkaku, Ginkaku no Inbou",0.09,576
"Mugen Keitai Disgaea",0.09,576
"Atelier Totori: The Adventurer of Arland",0.09,576
"Kurikin: Nano Island Story",0.09,576
"Digimon World Re:Digitize Decode",0.09,576
"Chou Jigen Game Neptune Mk-II",0.09,576
"Ys VIII: Lacrimosa of Dana",0.09,576
"Lost Heroes",0.09,576
"Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army",0.09,576
"Dragon Age: Origins",0.08,608
"Dragon Age: Inquisition",0.08,608
"Dark Cloud",0.08,608
"Final Fantasy XIV: A Realm Reborn",0.08,608
"Sacred 2: Fallen Angel",0.08,608
"Dark Souls II",0.08,608
"Okage: Shadow King",0.08,608
"Pandora's Tower",0.08,608
"Eternal Sonata",0.08,608
"Glory of Heracles",0.08,608
"Ys Seven",0.08,608
"Atelier Shallie: Alchemists of the Dusk Sea",0.08,608
"Demon Gaze",0.08,608
"Odin Sphere: Leifthrasir",0.08,608
"Disgaea 4: A Promise Unforgotten",0.08,608
"Project X Zone 2: Brave New World",0.08,608
"Mugen Souls",0.08,608
"Class of Heroes",0.08,608
"RockMan EXE 4.5 Real Operation",0.08,608
"SaGa 3: Jikuu no Hasha - Shadow or Light",0.08,608
"PoPoLoCrois (JP sales)",0.08,608
"Ken to Mahou to Gakuen Mono. 2",0.08,608
"Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari",0.08,608
"Slayers Royal",0.08,608
"King's Field (Japan)",0.08,608
